cellarURIs,lang,mtypes,workTypes,subjects,subject_ids
http://publications.europa.eu/resource/cellar/45079988-812a-42b1-bef9-dd6c1652987f,ENG,html,http://publications.europa.eu/ontology/cdm#regulation,purchase price,http://eurovoc.europa.eu/2642
http://publications.europa.eu/resource/cellar/00c30344-95c6-4dec-b6ae-4a8638568120,ENG,html,http://publications.europa.eu/ontology/cdm#act_preparatory,financing,http://eurovoc.europa.eu/1000
http://publications.europa.eu/resource/cellar/ee88592f-c81b-4b3a-835c-62f0957b7e0d,ENG,html,http://publications.europa.eu/ontology/cdm#act_preparatory,VAT|tax exemption,http://eurovoc.europa.eu/4585|http://eurovoc.europa.eu/935
http://publications.europa.eu/resource/cellar/d3b5cd35-e6a0-4afc-9503-1871786c46c2,ENG,html,http://publications.europa.eu/ontology/cdm#act_preparatory,interest|tax on income,http://eurovoc.europa.eu/1326|http://eurovoc.europa.eu/1476
http://publications.europa.eu/resource/cellar/5883c0ff-2870-44b1-ae33-fde636a506b6,ENG,xhtml,http://publications.europa.eu/ontology/cdm#regulation,import price,http://eurovoc.europa.eu/2635
http://publications.europa.eu/resource/cellar/971456e7-a9c6-476c-894f-ecef36ae110e,ENG,html,http://publications.europa.eu/ontology/cdm#regulation,credit guarantee,http://eurovoc.europa.eu/1130
http://publications.europa.eu/resource/cellar/e859567f-891d-4f91-8bcc-1c5999e740da,ENG,xhtml,http://publications.europa.eu/ontology/cdm#regulation,import price,http://eurovoc.europa.eu/2635
http://publications.europa.eu/resource/cellar/c15fbc33-b91d-414e-8d5d-7f357e6ab819,ENG,html,http://publications.europa.eu/ontology/cdm#act_preparatory,financial transaction,http://eurovoc.europa.eu/4491
http://publications.europa.eu/resource/cellar/cc386290-75d4-11e2-9294-01aa75ed71a1,ENG,xhtml,http://publications.europa.eu/ontology/cdm#act_preparatory,capital movement,http://eurovoc.europa.eu/2002
http://publications.europa.eu/resource/cellar/81387339-260a-4cc2-9738-9aa2987be6c3,ENG,html,http://publications.europa.eu/ontology/cdm#regulation,European System of Central Banks|financial institution|financial statistics,http://eurovoc.europa.eu/1452|http://eurovoc.europa.eu/4263|http://eurovoc.europa.eu/5883
http://publications.europa.eu/resource/cellar/c9b6a000-811e-462c-b1f2-1e9a9481febb,ENG,xhtml,http://publications.europa.eu/ontology/cdm#act_preparatory,credit institution,http://eurovoc.europa.eu/3246
http://publications.europa.eu/resource/cellar/72f4f205-22cf-11e8-ac73-01aa75ed71a1,ENG,xhtml,http://publications.europa.eu/ontology/cdm#act_preparatory,investment,http://eurovoc.europa.eu/1488
http://publications.europa.eu/resource/cellar/aaf7629b-5d97-413b-88ac-14e0bf52fa04,ENG,html,http://publications.europa.eu/ontology/cdm#regulation,selling price,http://eurovoc.europa.eu/2664
http://publications.europa.eu/resource/cellar/f274aad2-3790-443c-b3c4-0f791bb3444f,ENG,xhtml,http://publications.europa.eu/ontology/cdm#regulation,export price,http://eurovoc.europa.eu/2634
http://publications.europa.eu/resource/cellar/1883b6f4-567e-11e3-a8cb-01aa75ed71a1,ENG,html,http://publications.europa.eu/ontology/cdm#act_preparatory,corporation tax,http://eurovoc.europa.eu/1331
http://publications.europa.eu/resource/cellar/cdf16c7c-21ba-42a7-9bb6-8001d2845ce4,ENG,html,http://publications.europa.eu/ontology/cdm#regulation,import price,http://eurovoc.europa.eu/2635
http://publications.europa.eu/resource/cellar/e1f37241-199c-4cfc-b34c-94684d2474af,ENG,xhtml,http://publications.europa.eu/ontology/cdm#regulation,import price,http://eurovoc.europa.eu/2635
http://publications.europa.eu/resource/cellar/9ec17316-510d-11e4-a0cb-01aa75ed71a1,ENG,xhtml,http://publications.europa.eu/ontology/cdm#regulation,import price,http://eurovoc.europa.eu/2635
http://publications.europa.eu/resource/cellar/83808500-6fc6-447c-89aa-7907cdcfa847,ENG,html,http://publications.europa.eu/ontology/cdm#act_preparatory,VAT,http://eurovoc.europa.eu/4585
http://publications.europa.eu/resource/cellar/a6040325-a4fc-4a40-9d39-3a1fdb22b0c5,ENG,xhtml,http://publications.europa.eu/ontology/cdm#regulation,import price,http://eurovoc.europa.eu/2635
http://publications.europa.eu/resource/cellar/3469fa27-cd19-4a80-8658-77b1b7a1d556,ENG,xhtml,http://publications.europa.eu/ontology/cdm#regulation,representative price,http://eurovoc.europa.eu/2687
http://publications.europa.eu/resource/cellar/b75e4446-6cc7-443e-93fb-097dae613205,ENG,xhtml,http://publications.europa.eu/ontology/cdm#regulation,stock-exchange listing,http://eurovoc.europa.eu/248
http://publications.europa.eu/resource/cellar/2c67922d-e16c-4410-a4e2-245aff51d7b6,ENG,html,http://publications.europa.eu/ontology/cdm#regulation,world market price,http://eurovoc.europa.eu/2668
http://publications.europa.eu/resource/cellar/17df4b71-72d1-4652-a36f-c438fb92d570,ENG,html,http://publications.europa.eu/ontology/cdm#regulation,purchase price,http://eurovoc.europa.eu/2642
http://publications.europa.eu/resource/cellar/06bc16ca-c59e-11e1-b84a-01aa75ed71a1,ENG,xhtml,http://publications.europa.eu/ontology/cdm#regulation,price regulations,http://eurovoc.europa.eu/3152
http://publications.europa.eu/resource/cellar/83af8f7e-2482-11e9-8d04-01aa75ed71a1,ENG,xhtml,http://publications.europa.eu/ontology/cdm#act_preparatory,central bank|financial transaction,http://eurovoc.europa.eu/4491|http://eurovoc.europa.eu/4763
http://publications.europa.eu/resource/cellar/aa9125f1-13a4-48b8-8231-08bf262af847,ENG,html,http://publications.europa.eu/ontology/cdm#regulation,import price,http://eurovoc.europa.eu/2635
http://publications.europa.eu/resource/cellar/b7226557-1f1f-440a-9802-8b56653e0f22,ENG,html,http://publications.europa.eu/ontology/cdm#directive,credit institution|credit union|mortgage bank,http://eurovoc.europa.eu/230|http://eurovoc.europa.eu/3246|http://eurovoc.europa.eu/5090
http://publications.europa.eu/resource/cellar/89f071a3-bcbb-11e4-bbe1-01aa75ed71a1,ENG,xhtml,http://publications.europa.eu/ontology/cdm#act_preparatory,capital movement,http://eurovoc.europa.eu/2002
http://publications.europa.eu/resource/cellar/ad12af98-b023-4954-bc4e-4878d2608bd2,ENG,xhtml,http://publications.europa.eu/ontology/cdm#regulation,European System of Central Banks|central bank|financial institution,http://eurovoc.europa.eu/1452|http://eurovoc.europa.eu/4763|http://eurovoc.europa.eu/5883
